comment_id,score,content,time,city,gender,sentiment,province,gender_mapped
1211665559,5.0,二刷！依旧精彩,2025/4/21 21:16,佛山,0,0.9203067421913147,广东省,0
1211652698,5.0,支持一下国产动漫,2025/4/21 21:15,延边,1,0.5134225487709045,未知省份,1
1211623835,5.0,剧情搞笑又紧张,2025/4/21 21:13,武汉,0,0.31890517473220825,湖北省,0
1211642772,3.5,还行吧，特效不错,2025/4/21 21:08,深圳,0,0.20719003677368164,广东省,0
1211659669,4.5,值得看的一部,2025/4/21 20:59,海东,0,0.8354021310806274,青海省,0
1211668543,4.5,说实话用了这么多线上平台，只有每次在这种草的店，品质都在线，值得信赖的好平台??我的天哪，感谢遇到这么好的平台，为什么没有早点发现，以后继续冲冲冲！,2025/4/21 20:58,温州,0,0.9521804451942444,浙江省,0
1211663532,5.0,vvgg**粉底,2025/4/21 20:47,东莞,0,0.1495753526687622,广东省,0
1211643691,5.0,好????????,2025/4/21 20:47,沈阳,0,0.8962299227714539,辽宁省,0
1211666575,5.0,不错非常好看,2025/4/21 20:47,淮南,0,0.8747751116752625,安徽省,0
1211616885,4.5,非常好看，特效绝了，2刷了,2025/4/21 20:45,金昌,0,0.9412544369697571,甘肃省,0
1211629759,5.0,电影嘎嘎好，,2025/4/21 20:45,库尔勒,0,0.9649901390075684,新疆维吾尔自治区,0
1211649608,4.5,剧情很好，特效也很好，,2025/4/21 20:41,惠阳,0,0.9515371918678284,未知省份,0
1211651643,5.0,剧情跌宕起伏，画面完美，演技完美,2025/4/21 20:41,成都,1,0.9462841153144836,四川省,1
1211660645,5.0,好看，震撼，值得观看。,2025/4/21 20:34,江门,0,0.9112805128097534,广东省,0
1211628814,5.0,剧情很好，画面很好,2025/4/21 20:34,启东,0,0.9505791068077087,江苏省,0
1211636750,5.0,很不错，喜欢观看,2025/4/21 20:32,内江,0,0.8392674922943115,四川省,0
1211622782,4.5,很不错，推荐看,2025/4/21 20:32,葫芦岛,0,0.8740491271018982,辽宁省,0
1211655635,5.0,非常好看，值得去看,2025/4/21 20:30,罗源县,0,0.9193870425224304,福建省,0
1211628811,5.0,确实值得一看,2025/4/21 20:28,南阳,0,0.8679245710372925,河南省,0
1211662614,5.0,国漫之光，品质高，,2025/4/21 20:25,张家口,2,0.8707839250564575,河北省,2
1211668534,5.0,好看，看了三次,2025/4/21 20:24,涿州,2,0.9264780282974243,河北省,2
1211665544,5.0,好，很好，非常好看！支持,2025/4/21 20:24,济南,0,0.9581406116485596,山东省,0
1211638695,5.0,很好很棒支持,2025/4/21 20:17,深圳,0,0.974634051322937,广东省,0
1211650703,5.0,特别好看，快去看,2025/4/21 20:07,都江堰,0,0.9228968620300293,四川省,0
1211660637,5.0,好看不错值得推荐,2025/4/21 20:01,成都,0,0.7511186599731445,四川省,0
1211660634,5.0,好看，hao,2025/4/21 19:53,曹妃甸,0,0.8153623938560486,未知省份,0
1211640706,4.5,剧情不错。。,2025/4/21 19:51,邯郸,0,0.6846422553062439,河北省,0
1211668525,5.0,不错很棒的电影,2025/4/21 19:51,宜昌,0,0.9306401610374451,湖北省,0
1211653704,5.0,画面非常好。,2025/4/21 19:50,抚顺,0,0.9260327219963074,辽宁省,0
1211663515,5.0,好看的很，大家都去看,2025/4/21 19:46,成都,1,0.853117823600769,四川省,1
1204934993,5.0,"春节档第一部，看期待了五年多的哪吒2。
没有一秒钟不值得看，全方位的好，哪哪都好，故事、情感、特效、审美、节奏、叙事线……笑点泪点燃点，沉浸的一秒钟都不舍得移开眼睛。
喜欢东海龙王敖光，喜欢小哪吒大哪吒。
二刷见！",2025/1/29 17:01,南京,2,0.9937489032745361,江苏省,2
